"昭和５５年","人口（人）_総数_総数","人口（人）_総数_15歳未満","人口（人）_総数_15～64歳","人口（人）_総数_65歳以上","人口（人）_男_総数","人口（人）_男_15歳未満","人口（人）_男_15～64歳","人口（人）_男_65歳以上","人口（人）_女_総数","人口（人）_女_15歳未満","人口（人）_女_15～64歳","人口（人）_女_65歳以上","割合（％）_総数_15歳未満","割合（％）_総数_15～64歳","割合（％）_総数_65歳以上","割合（％）_男_15歳未満","割合（％）_男_15～64歳","割合（％）_男_65歳以上","割合（％）_女_15歳未満","割合（％）_女_15～64歳","割合（％）_女_65歳以上"
"30000_和歌山県","1087012.0","243977.0","714680.0","127950.0","523467.0","125814.0","344610.0","52793.0","563545.0","118163.0","370070.0","75157.0","22.444738420551015","65.74720426269444","11.770799218407893","24.034752907060046","65.83223011192683","10.085258478566939","20.967802038878883","65.66822525264175","13.336468250095379"
"30201_和歌山市","400802.0","93982.0","268878.0","37635.0","194568.0","48557.0","130612.0","15206.0","206234.0","45425.0","138266.0","22429.0","23.448485785999072","67.08499458585536","9.389923203976029","24.95631347395255","67.12922988363965","7.815262530323588","22.02595110408565","67.04326153786475","10.875510342620519"
"30202_海南市","69942.0","14777.0","45953.0","9141.0","33415.0","7601.0","22095.0","3680.0","36527.0","7176.0","23858.0","5461.0","21.12750564753653","65.70158131022848","13.069400360298534","22.747269190483316","66.12299865329942","11.013018105641178","19.645741506283024","65.31606756645769","14.950584499137623"
"30203_橋本市","52616.0","11717.0","34678.0","6220.0","25237.0","6075.0","16625.0","2537.0","27379.0","5642.0","18053.0","3683.0","22.268891591911206","65.9077086817698","11.82149916375247","24.071799342235607","65.87550025755834","10.052700400206046","20.607034588553272","65.93739727528398","13.45191570181526"
"30204_有田市","35683.0","8396.0","23233.0","4046.0","17225.0","4287.0","11243.0","1690.0","18458.0","4109.0","11990.0","2356.0","23.52941176470588","65.10943586581845","11.338732729871367","24.888243831640057","65.27140783744557","9.811320754716983","22.261350092100987","64.95828367103695","12.764113121681655"
"30205_御坊市","30398.0","6727.0","20142.0","3529.0","14959.0","3504.0","9991.0","1464.0","15439.0","3223.0","10151.0","2065.0","22.129745377985394","66.26093821961972","11.609316402394894","23.42402567016512","66.78922387860152","9.78675045123337","20.87570438499903","65.7490770127599","13.375218602241079"
"30206_田辺市","88130.0","20569.0","56509.0","11052.0","42128.0","10544.0","26891.0","4693.0","46002.0","10025.0","29618.0","6359.0","23.339384999432657","64.12004992624531","12.540565074322025","25.028484618306113","63.831655905810855","11.139859475883023","21.792530759532195","64.38415721055605","13.823312029911744"
"30207_新宮市","42428.0","9188.0","27877.0","5363.0","20096.0","4765.0","13087.0","2244.0","22332.0","4423.0","14790.0","3119.0","21.65551051192609","65.70425190911662","12.640237578957292","23.711186305732486","65.12241242038218","11.16640127388535","19.80566003940534","66.22783449758195","13.966505463012718"
"30208_紀の川市","62218.0","13086.0","40779.0","8353.0","29819.0","6653.0","19672.0","3494.0","32399.0","6433.0","21107.0","4859.0","21.032498633835868","65.54212607284066","13.425375293323475","22.311278044200005","65.97136054193635","11.717361413863644","19.85555109725609","65.14707244050743","14.997376462236488"
"30209_岩出市","24125.0","6466.0","15606.0","2043.0","11735.0","3329.0","7570.0","830.0","12390.0","3137.0","8036.0","1213.0","26.802072538860106","64.6880829015544","8.46839378238342","28.368129527055817","64.50788240306775","7.072858968896463","25.318805488297013","64.85875706214689","9.790153349475384"
"30304_紀美野町","15625.0","2924.0","9910.0","2791.0","7461.0","1504.0","4751.0","1206.0","8164.0","1420.0","5159.0","1585.0","18.7136","63.424","17.8624","20.158155743197963","63.677791180806864","16.164053075995174","17.39343459088682","63.192062714355714","19.41450269475747"
"30341_かつらぎ町","24496.0","5001.0","16207.0","3288.0","11871.0","2659.0","7813.0","1399.0","12625.0","2342.0","8394.0","1889.0","20.415578053559766","66.16182233834095","13.422599608099281","22.399123915424145","65.81585376126695","11.785022323308905","18.55049504950495","66.4871287128713","14.962376237623761"
"30343_九度山町","7693.0","1619.0","4979.0","1095.0","3694.0","845.0","2388.0","461.0","3999.0","774.0","2591.0","634.0","21.04510594046536","64.72117509424152","14.233718965293123","22.874932322685435","64.64537087168381","12.479696805630752","19.35483870967742","64.79119779944986","15.853963490872719"
"30344_高野町","7236.0","1136.0","5092.0","1008.0","3894.0","572.0","2881.0","441.0","3342.0","564.0","2211.0","567.0","15.699281370923163","70.37037037037037","13.930348258706468","14.689265536723164","73.98561890087313","11.325115562403699","16.87612208258528","66.15798922800718","16.965888689407542"
"30361_湯浅町","17037.0","3992.0","10943.0","2102.0","8162.0","2119.0","5203.0","840.0","8875.0","1873.0","5740.0","1262.0","23.431355285554968","64.23079180606915","12.337852908375888","25.96177407498162","63.7466307277628","10.291595197255575","21.104225352112678","64.67605633802816","14.219718309859156"
"30362_広川町","9178.0","2130.0","6029.0","1019.0","4341.0","1101.0","2808.0","432.0","4837.0","1029.0","3221.0","587.0","23.207670516452385","65.6896927435171","11.102636740030508","25.362819626814098","64.68555632342779","9.95162404975812","21.273516642547033","66.5908621046103","12.135621252842672"
"30366_有田川町","30944.0","6069.0","20234.0","4641.0","14964.0","3129.0","9879.0","1956.0","15980.0","2940.0","10355.0","2685.0","19.612849017580146","65.38908996897621","14.998061013443639","20.910184442662388","66.01844426623897","13.071371291098638","18.39799749687109","64.79974968710889","16.802252816020026"
"30381_美浜町","8832.0","1843.0","5717.0","1272.0","4097.0","893.0","2678.0","526.0","4735.0","950.0","3039.0","746.0","20.86730072463768","64.73052536231883","14.402173913043478","21.79643641689041","65.36490114718086","12.838662435928727","20.06335797254488","64.18162618796198","15.755015839493137"
"30382_日高町","6973.0","1421.0","4403.0","1149.0","3284.0","711.0","2095.0","478.0","3689.0","710.0","2308.0","671.0","20.37860318370859","63.14355370715617","16.477843109135236","21.650426309378805","63.79415347137637","14.555420219244825","19.24640824071564","62.56438059094606","18.189211168338304"
"30383_由良町","9468.0","2069.0","6146.0","1253.0","4677.0","1041.0","3127.0","509.0","4791.0","1028.0","3019.0","744.0","21.852555978031262","64.91339247993241","13.234051542036331","22.2578576010263","66.85909771220868","10.88304468676502","21.456898351074933","63.01398455437278","15.529117094552285"
"30390_印南町","10767.0","2357.0","6852.0","1558.0","5139.0","1182.0","3309.0","648.0","5628.0","1175.0","3543.0","910.0","21.890963128076528","63.63889662858735","14.470140243336118","23.000583771161704","64.38995913601869","12.609457092819614","20.87775408670931","62.953091684434966","16.169154228855724"
"30391_みなべ町","15390.0","3555.0","9763.0","2072.0","7380.0","1859.0","4642.0","879.0","8010.0","1696.0","5121.0","1193.0","23.099415204678362","63.43729694606888","13.463287849252762","25.189701897018967","62.89972899728997","11.910569105691057","21.17353308364544","63.93258426966292","14.893882646691637"
"30392_日高川町","12274.0","2369.0","7773.0","2132.0","5907.0","1229.0","3752.0","926.0","6367.0","1140.0","4021.0","1206.0","19.30096138178263","63.32898810493727","17.370050513280106","20.805823599119687","63.517860165904864","15.676316234975454","17.90482173708183","63.15376158316318","18.941416679754987"
"30401_白浜町","26002.0","5818.0","16859.0","3324.0","12156.0","3015.0","7749.0","1391.0","13846.0","2803.0","9110.0","1933.0","22.375201907545573","64.83732020613799","12.783632028305513","24.802566633761106","63.74629812438302","11.442908851595918","20.244113823486927","65.79517550195003","13.960710674563051"
"30404_上富田町","11835.0","3095.0","7433.0","1303.0","5810.0","1608.0","3651.0","548.0","6025.0","1487.0","3782.0","755.0","26.15124630333756","62.80523869877482","11.009716941275876","27.676419965576592","62.83993115318417","9.432013769363166","24.680497925311204","62.77178423236515","12.531120331950207"
"30406_すさみ町","7299.0","1433.0","4534.0","1332.0","3437.0","742.0","2115.0","580.0","3862.0","691.0","2419.0","752.0","19.63282641457734","62.118098369639675","18.249075215782984","21.58859470468432","61.536223450683735","16.875181844631946","17.892283790781978","62.635939927498704","19.471776281719315"
"30421_那智勝浦町","23006.0","4935.0","14941.0","3129.0","10869.0","2557.0","7003.0","1308.0","12137.0","2378.0","7938.0","1821.0","21.450925845431627","64.94392767104233","13.600799791358774","23.525623332413286","64.4309504094213","12.034225779740547","19.59298014336327","65.4033121858779","15.003707670758837"
"30422_太地町","4539.0","913.0","2853.0","771.0","2104.0","472.0","1356.0","274.0","2435.0","441.0","1497.0","497.0","20.114562679004187","62.8552544613351","16.986120290812952","22.433460076045627","64.44866920152091","13.022813688212928","18.11088295687885","61.478439425051334","20.410677618069816"
"30424_古座川町","5030.0","840.0","3161.0","1029.0","2374.0","432.0","1500.0","442.0","2656.0","408.0","1661.0","587.0","16.69980119284294","62.842942345924456","20.457256461232603","18.197135636057286","63.184498736310026","18.618365627632688","15.36144578313253","62.537650602409634","22.10090361445783"
"30427_北山村","790.0","130.0","478.0","182.0","371.0","67.0","229.0","75.0","419.0","63.0","249.0","107.0","16.455696202531644","60.50632911392405","23.037974683544306","18.059299191374663","61.725067385444746","20.21563342318059","15.035799522673033","59.427207637231504","25.53699284009546"
"30428_串本町","26256.0","5420.0","16718.0","4118.0","12293.0","2762.0","7895.0","1636.0","13963.0","2658.0","8823.0","2482.0","20.642900670322977","63.67306520414382","15.684034125533211","22.468071260066704","64.22354185308711","13.308386886846172","19.036023777125262","63.18842655589773","17.77554966697701"
